Company_ID,Company_Name,Sector,Region,Year,Quarter,Period,Revenue,Operating_Expenses,Marketing_Spend,Net_Profit,Employees,Customer_Count,Profit_Margin_%
C001,NileSoft TE,Technology,Jordan,2020,Q1,2020Q1,4582564.69,2870941.94,307504.57,1404118.1800000004,220,2025,30.64
C001,NileSoft TE,Technology,Jordan,2020,Q2,2020Q2,5158573.48,2904330.1,207536.88,2046706.5000000005,220,5339,39.68
C001,NileSoft TE,Technology,Jordan,2020,Q3,2020Q3,4930718.4,3533545.02,328384.86,1068788.5200000005,220,4442,21.68
C001,NileSoft TE,Technology,Jordan,2020,Q4,2020Q4,4159461.78,2720344.59,202576.87,1236540.3199999998,218,1698,29.73
C001,NileSoft TE,Technology,Jordan,2021,Q1,2021Q1,4324609.46,3007568.68,370184.55,946856.2299999997,220,2565,21.89
C001,NileSoft TE,Technology,Jordan,2021,Q2,2021Q2,4813693.55,3021726.12,238373.24,1553594.1899999997,220,3422,32.27
C001,NileSoft TE,Technology,Jordan,2021,Q3,2021Q3,4588318.79,2675234.81,219213.4,1693870.58,223,3118,36.92
C001,NileSoft TE,Technology,Jordan,2021,Q4,2021Q4,4553783.91,3148356.27,359419.63,1046008.0100000001,226,4918,22.97
C001,NileSoft TE,Technology,Jordan,2022,Q1,2022Q1,5243376.9,3355185.15,424725.67,1463466.0800000005,227,2706,27.91
C001,NileSoft TE,Technology,Jordan,2022,Q2,2022Q2,5329688.37,3610925.13,393205.06,1325558.1800000002,229,5312,24.87
C001,NileSoft TE,Technology,Jordan,2022,Q3,2022Q3,5311544.95,3193373.41,234553.02,1883618.52,232,4647,35.46
C001,NileSoft TE,Technology,Jordan,2022,Q4,2022Q4,4595537.64,3045256.52,268941.03,1281340.0899999996,235,2514,27.88
C001,NileSoft TE,Technology,Jordan,2023,Q1,2023Q1,5098131.22,3099410.35,176491.16,1822229.7099999997,235,2234,35.74
C001,NileSoft TE,Technology,Jordan,2023,Q2,2023Q2,6132359.57,3883635.51,264344.11,1984379.9500000007,232,6086,32.36
C001,NileSoft TE,Technology,Jordan,2023,Q3,2023Q3,5237150.49,3327798.32,279923.075,1629429.0950000004,231,6451,31.11
C001,NileSoft TE,Technology,Jordan,2023,Q4,2023Q4,5115550.42,3040793.47,281583.73,1793173.2199999997,233,2128,35.05
C001,NileSoft TE,Technology,Jordan,2024,Q1,2024Q1,5634110.4,3171882.74,305538.77,2156688.89,232,2840,38.28
C001,NileSoft TE,Technology,Jordan,2024,Q2,2024Q2,5812668.26,3528104.21,279314.4,2005249.65,234,3513,34.5
C001,NileSoft TE,Technology,Jordan,2024,Q3,2024Q3,5653345.33,3878992.53,384772.79,1389580.0100000002,237,3249,24.58
C001,NileSoft TE,Technology,Jordan,2024,Q4,2024Q4,5671597.04,3983298.28,398872.83,1289425.9300000002,237,3979,22.73
C002,DeltaTech TE,Technology,Morocco,2020,Q1,2020Q1,6472210.13,4217549.43,252694.84,2001965.86,217,4779,30.93
C002,DeltaTech TE,Technology,Morocco,2020,Q2,2020Q2,7040734.18,4593506.02,218229.45,2228998.71,214,6421,31.66
C002,DeltaTech TE,Technology,Morocco,2020,Q3,2020Q3,6591417.51,4516030.76,279923.075,1795463.675,212,3831,27.24
C002,DeltaTech TE,Technology,Morocco,2020,Q4,2020Q4,6207125.08,4233239.5,282278.31,1691607.27,210,3650,27.25
C002,DeltaTech TE,Technology,Morocco,2021,Q1,2021Q1,6929455.43,4197685.81,286341.91,2445427.71,212,3071,35.29
C002,DeltaTech TE,Technology,Morocco,2021,Q2,2021Q2,7377447.4,5004907.01,566532.87,1806007.5200000005,214,9045,24.48
C002,DeltaTech TE,Technology,Morocco,2021,Q3,2021Q3,6416149.09,4104313.23,379430.69,1932405.17,217,5811,30.12
C002,DeltaTech TE,Technology,Morocco,2021,Q4,2021Q4,6158268.69,3766472.01,451132.57,1940664.1100000006,219,3272,31.51
C002,DeltaTech TE,Technology,Morocco,2022,Q1,2022Q1,7204549.18,5107753.48,488960.63,1607835.0699999994,220,4400,22.32
C002,DeltaTech TE,Technology,Morocco,2022,Q2,2022Q2,7572643.73,4920996.77,331765.97,2319880.990000001,220,8663,30.64
C002,DeltaTech TE,Technology,Morocco,2022,Q3,2022Q3,6978646.93,5133937.31,215831.38,1628878.2400000002,217,2862,23.34
C002,DeltaTech TE,Technology,Morocco,2022,Q4,2022Q4,6542036.87,3998096.51,225836.19,2318104.1700000004,215,4025,35.43
C002,DeltaTech TE,Technology,Morocco,2023,Q1,2023Q1,7473437.98,4962454.25,536307.27,1974676.4600000004,213,3009,26.42
C002,DeltaTech TE,Technology,Morocco,2023,Q2,2023Q2,7563440.05,4606574.56,342244.29,2614621.2,215,7327,34.57
